id,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_90,instant_bookable,cancellation_policy,host_active,phone,email,id_verification,review,photo,socials,others,air_con,wifi,washer,essentials,kitchen,hangers,iron,tv,hair_dryer,shampoo,laptop_workspace,elevator,dryer,hot_water,bedroom_lock,pool,refrigerator,long_term_stays,gym,microwave,bedrooms_per_accommodates
49091,0,2,0,Woodlands,North Region,1.44255,103.7958,1,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,4.430816798843313,0.0,0.0,1,14.0,180,90,0,flexible,3417.0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.0
50646,0,1,0,Bukit Timah,Central Region,1.33235,103.78520999999999,1,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,4.382026634673881,0.0,0.0,2,20.0,90,90,0,moderate,3459.0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0.5
56334,0,2,0,Woodlands,North Region,1.44246,103.79666999999999,1,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,4.248495242049359,0.0,0.0,1,14.0,6,90,0,flexible,3417.0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.0
71609,0,8,1,Tampines,East Region,1.34541,103.95711999999999,1,Other,Private room,6,1.0,2.0,3.0,Real Bed,5.332718793265369,279.0,56.0,4,28.0,1,90,1,flexible,3316.0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0.3333333333333333
71896,0,8,1,Tampines,East Region,1.3456700000000001,103.95963,1,House,Private room,3,0.5,1.0,1.0,Real Bed,4.553876891600541,140.0,28.0,1,21.0,1,90,1,moderate,3316.0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0.3333333333333333
71903,0,8,1,Tampines,East Region,1.34702,103.96103000000001,1,House,Private room,3,0.5,1.0,2.0,Real Bed,4.653960350157523,140.0,28.0,1,21.0,1,83,0,moderate,3316.0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0.3333333333333333
71907,0,8,1,Tampines,East Region,1.34348,103.96337,1,House,Private room,6,1.0,1.0,7.0,Real Bed,5.342334251964811,279.0,70.0,4,35.0,1,84,1,strict_14_with_grace_period,3316.0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0.16666666666666666
241503,1,4,1,Bedok,East Region,1.3239100000000001,103.91277,1,Townhouse,Private room,1,1.0,1.0,1.0,Real Bed,3.9512437185814275,200.0,0.0,1,0.0,90,8,0,strict_14_with_grace_period,3108.0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1.0
241508,1,4,1,Bedok,East Region,1.3239100000000001,103.91277,1,Townhouse,Private room,2,1.0,1.0,2.0,Real Bed,3.9889840465642745,200.0,0.0,1,0.0,90,82,0,strict_14_with_grace_period,3108.0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0.5
241510,1,4,1,Bedok,East Region,1.3239100000000001,103.91277,1,Townhouse,Private room,1,1.0,1.0,1.0,Real Bed,3.6888794541139363,250.0,0.0,1,0.0,90,55,0,strict_14_with_grace_period,3108.0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1.0
275343,0,45,0,Bukit Merah,Central Region,1.28875,103.80814000000001,1,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,3.8918202981106265,152.0,65.0,1,0.0,90,40,0,strict_14_with_grace_period,3017.0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1.0
275344,0,45,0,Bukit Merah,Central Region,1.28837,103.81099,1,Apartment,Private room,1,0.5,1.0,0.0,Real Bed,3.6888794541139363,250.0,65.0,1,0.0,90,53,0,moderate,3017.0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1.0
294281,0,6,0,Newton,Central Region,1.31125,103.83816,1,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,4.143134726391533,147.0,42.0,1,15.0,2,90,0,moderate,2991.0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0.5
301247,0,1,1,Geylang,Central Region,1.31724,103.88958000000001,1,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,3.6888794541139363,150.0,0.0,1,0.0,10,89,0,moderate,2980.0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1.0
324945,0,45,0,Bukit Merah,Central Region,1.28976,103.80896,1,Apartment,Private room,1,0.0,1.0,1.0,Real Bed,3.8066624897703196,200.0,55.0,1,0.0,90,0,0,moderate,3017.0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1.0
330089,0,45,0,Bukit Merah,Central Region,1.28677,103.81244000000001,1,Apartment,Private room,1,2.0,0.0,1.0,Real Bed,3.6888794541139363,150.0,65.0,1,0.0,90,87,0,moderate,3017.0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0.0
330095,0,45,0,Bukit Merah,Central Region,1.2853700000000001,103.81087,1,Apartment,Private room,1,4.0,1.0,1.0,Real Bed,3.6635616461296463,150.0,65.0,1,0.0,180,61,0,strict_14_with_grace_period,3017.0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0
344803,0,8,1,Tampines,East Region,1.34943,103.95951,1,House,Private room,1,1.5,1.0,1.0,Real Bed,3.8918202981106265,140.0,28.0,1,14.0,2,89,1,moderate,3316.0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1.0
355955,0,1,1,Geylang,Central Region,1.3142,103.90231999999999,0,Townhouse,Private room,2,1.0,1.0,1.0,Real Bed,4.382026634673881,0.0,0.0,1,0.0,90,83,0,flexible,2933.0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0.5
369141,0,6,0,Newton,Central Region,1.3115,103.83759,1,Other,Private room,2,1.0,1.0,1.0,Real Bed,4.0943445622221,150.0,42.0,1,15.0,2,76,0,moderate,2991.0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0.5
369145,0,6,0,Newton,Central Region,1.31159,103.83805,1,Townhouse,Private room,2,1.0,1.0,1.0,Real Bed,4.0943445622221,150.0,42.0,1,15.0,2,90,0,moderate,2991.0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0.5
395191,0,1,0,River Valley,Central Region,1.29345,103.83561999999999,1,Apartment,Private room,1,0.0,1.0,1.0,Real Bed,4.02535169073515,137.0,0.0,2,0.0,90,89,0,strict_14_with_grace_period,2900.0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1.0
423875,0,8,1,Tampines,East Region,1.34838,103.9592,1,House,Private room,3,1.0,1.0,2.0,Real Bed,4.653960350157523,140.0,28.0,1,21.0,1,63,0,flexible,3316.0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0.3333333333333333
468782,0,2,1,Serangoon,North-East Region,1.3628,103.86446,1,House,Private room,2,1.5,1.0,0.0,Real Bed,4.02535169073515,140.0,15.0,1,25.0,2,90,0,strict_14_with_grace_period,2850.0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5
481789,0,1,0,Tampines,East Region,1.34816,103.93238000000001,0,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,3.6375861597263857,1300.0,0.0,1,0.0,180,90,0,strict_14_with_grace_period,2843.0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.5
553229,0,3,1,Jurong West,West Region,1.34135,103.71139000000001,1,Condominium,Private room,1,1.0,1.0,1.0,Real Bed,4.07753744390572,280.0,25.0,1,14.0,2,77,0,strict_14_with_grace_period,3105.0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1.0
604966,0,1,1,Bukit Timah,Central Region,1.33171,103.79383,1,Apartment,Entire home/apt,2,2.0,2.0,1.0,Real Bed,5.627621113690637,1398.0,63.0,1,0.0,4,87,0,strict_14_with_grace_period,2778.0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1.0
642660,0,1,0,Rochor,Central Region,1.3010899999999999,103.85234,1,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,5.123963979403259,0.0,28.0,1,28.0,180,90,0,strict_14_with_grace_period,2758.0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0.5
696136,0,1,1,Bukit Timah,Central Region,1.31016,103.79853,1,House,Private room,2,1.0,1.0,1.0,Real Bed,4.605170185988092,0.0,20.0,1,10.0,90,90,0,moderate,3058.0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0.5
